Song name,Week,Points,12,10,8,7,6,5,4,3,2,1,# of voters,Avg points,Weekly rank,Result,bonusPoints
"Electric Nights [SSC7, USA]",Group D,34,1,1,0,0,2,0,0,0,0,0,4,"8,50",28,Track save week,0
"[SSC7, Germany] Superstar",Group D,30,0,0,0,1,0,4,0,1,0,0,6,"5,00",29,Track save week,0
"Feuerbringer [SSC7, Germany]",Group D,27,0,1,1,0,0,1,0,1,0,1,5,"5,40",30,Track save week,0
"Into the Black [SSC7, Canada]",Group D,26,1,0,0,0,0,1,1,1,1,0,5,"5,20",31,Track save week,0
"Welcome to Suno, by gabi974 [SSC7, France]",Group D,26,0,1,1,0,0,1,0,0,1,1,5,"5,20",31,Track save week,0
"Justify [SSC7, Germany]",Group D,26,0,0,2,1,0,0,0,0,0,3,6,"4,33",31,Track save week,0
"Entropy [SSC7,  Austria]",Group D,22,1,0,0,0,0,0,1,1,1,1,5,"4,40",34,Track save week,0
"DepenDream [SSC7, Japan]",Group D,16,0,0,0,0,1,0,2,0,1,0,4,"4,00",35,Track save week,0
"Shine with Us [SSC7, France]",Group D,15,0,0,0,0,0,0,1,3,0,2,6,"2,50",36,Track save week,0
"Nebulight [SSC7, USA]",Group D,10,0,0,1,0,0,0,0,0,1,0,2,"5,00",37,Track save week,0
"LOBA - El Sapote de Sinaloa [SSC7, Spain]",Group D,4,0,0,0,0,0,0,1,0,0,0,1,"4,00",38,Track save week,0
"Sweet and Sour  [SSC7, USA]",Group D,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",39,Track save week,0
"Tryin' [SSC7, Netherlands]",Group D#,121,2,4,3,1,1,1,1,2,0,1,16,"7,31",1,Showcase,0
"The Spectrum [SSC7, Russia]",Group D#,116,2,2,4,2,1,2,0,0,1,3,17,"6,53",2,Showcase,0
"Don't feel the love, baby! [radio edit][SSC7, NORWAY]",Group D#,109,1,1,3,3,2,2,4,1,0,1,18,"6,06",3,Showcase,0
"Second Skin [SSC7, Germany]",Group D#,103,3,1,2,3,1,0,1,2,1,2,16,"6,44",4,Showcase,0
"Featherfall [SSC7, POLAND]",Group D#,96,3,2,0,3,0,2,0,2,1,1,14,"6,86",5,Showcase,0
"Wrong Child [SSC7, USA]",Group D#,94,3,2,2,0,1,0,2,1,2,1,14,"6,71",6,Showcase,0
"Why do this to me? [SSC7, USA]",Group D#,80,2,1,1,1,2,2,1,1,1,0,12,"6,67",7,Showcase,0
"Escher Spiral [SSC7, Norway]",Group D#,78,0,3,1,1,3,1,0,2,1,1,13,"5,92",8,Showcase,0
"FEELS LIKE GOLD [SSC7, Serbia]",Group D#,69,3,0,0,1,0,5,0,0,0,1,10,"6,90",9,Showcase,0
"Creyst [SSC7, Taiwan]",Group D#,68,1,3,1,0,2,0,1,0,1,0,9,"7,56",10,Showcase,0
"Rebel Heart [SSC7, Russia]",Group D#,63,1,1,0,2,1,0,1,0,3,1,10,"5,30",11,Showcase,0
"Start Again [SSC7, Romania]",Group D#,60,1,1,1,1,1,1,1,0,4,0,11,"5,45",12,Showcase,0
"Declaración de Amor [SSC7, Spain]",Group D#,59,2,1,0,1,0,1,1,2,1,1,10,"5,90",13,Showcase,0
"Whispers in the Void [SSC7, USA]",Group D#,57,1,1,1,2,0,0,1,2,1,1,10,"5,70",14,Showcase,0
"A message [SSC7, Japan]",Group D#,49,0,1,3,1,0,1,0,0,0,3,9,"5,44",15,Showcase,0
"CORRUPTED [SSC7, Netherlands]",Group D#,48,2,0,1,1,1,0,0,0,1,1,7,"6,86",16,Showcase,0
"Opera, My Love [SSC7, Malaysia]",Group D#,48,1,1,1,1,0,0,1,1,1,2,9,"5,33",16,Showcase,0
"Rushflower [SSC7, France]",Group D#,47,1,0,0,1,1,2,1,1,2,1,10,"4,70",18,Showcase,0
"Bahasa Melayu Bahasa Kita [SSC7, Malaysia]",Group D#,42,0,1,2,1,0,1,1,0,0,0,6,"7,00",19,Showcase,0
"Lumena Veritas: The New Commandments [SSC7, Germany]",Group D#,41,0,1,0,0,1,1,2,3,0,1,9,"4,33",20,Showcase,0
"🎶《One Slash, One Life》🎶[SSC7,  Taiwan]",Group D#,37,1,0,1,0,1,0,2,1,0,0,6,"6,17",21,Track save week,0
"Café Encounters [SSC7, Germany]",Group D#,36,0,1,0,1,1,0,0,0,0,1,4,"6,00",22,Track save week,0
"Chaos is you [SSC7, Greece]",Group D#,35,0,1,0,2,1,1,0,0,0,0,5,"7,00",23,Track save week,0
"Humbled to Announce [SSC7, USA]",Group D#,35,0,0,2,0,0,1,1,1,0,0,5,"5,60",23,Track save week,0
"Salome's Invisible Citadel[SSC7,Italy]",Group D#,34,0,2,0,0,0,0,2,0,2,2,8,"4,25",25,Track save week,0
"Rise From Darkness [SSC7, Malaysia]",Group D#,31,1,0,0,0,0,0,2,1,0,2,6,"4,17",26,Track save week,0
"September [SSC7, Australia]",Group D#,30,0,0,1,0,1,1,2,1,0,0,6,"5,00",27,Track save week,0
"Take Me Back! [SSC7, USA]",Group D#,30,1,0,0,0,1,1,0,1,2,0,6,"5,00",27,Track save week,0
"Ghost Of You [SSC7, Netherlands]",Group D#,26,0,0,0,1,2,1,0,0,1,0,5,"5,20",29,Track save week,0
"Rubble & Debris [SSC7, USA]",Group D#,26,0,1,0,0,2,0,1,0,0,0,4,"6,50",29,Track save week,0
"Screaming in between [SSC7, Germany]",Group D#,24,0,0,1,0,1,0,1,1,1,1,6,"4,00",31,Track save week,0
"Root code [SSC7, Canada]",Group D#,21,0,0,0,0,1,0,1,3,1,0,6,"3,50",32,Track save week,0
"Jax – Der Taktgeber [SSC7, GER]",Group D#,20,0,0,0,0,1,2,1,0,0,0,4,"5,00",33,Track save week,0
"Weils geht [SSC7, Germany]",Group D#,19,0,0,1,0,1,0,0,0,0,2,4,"4,00",34,Track save week,0
"Casi se todo de ti [SSC7, DOM]",Group D#,18,0,0,0,0,0,0,0,2,2,0,4,"2,50",35,Track save week,0
"VISION. [SSC7, Nigeria]",Group D#,17,0,0,0,1,0,1,0,1,0,2,5,"3,40",36,Track save week,0
"Et malgré la souffrance (V4-5) [SSC7, France]",Group D#,14,0,0,0,1,0,1,0,0,1,0,3,"4,67",37,Track save week,0
"Frozen Flower [SSC7, USA]",Group D#,7,0,0,0,0,0,1,0,0,1,0,2,"3,50",38,Track save week,0
"savepoint [SSC7, Brazil]",Group D#,6,0,0,0,0,1,0,0,0,0,0,1,"6,00",39,Track save week,0
"Odd Proposal [SSC7, USA]",Group E,139,3,0,4,5,1,4,2,0,0,3,22,"6,36",1,Showcase,0
"Cosmoshamansha [SSC7, USA]",Group E,120,4,2,3,3,0,0,2,1,0,0,15,"8,27",2,Showcase,0
"Dancing in the Rain [SSC7, Germany]",Group E,115,3,4,0,2,0,2,2,1,1,2,17,"6,76",3,Showcase,0
"You Make Me Scream [SSC7, Germany]",Group E,91,3,4,0,1,0,2,0,1,2,3,16,"6,44",4,Showcase,0
"Morning Sun [SSC7, Germany]",Group E,85,1,4,1,2,1,0,1,1,2,1,14,"6,57",5,Showcase,0
"Tell me what’s wrong with me [SSC7, ITALY]",Group E,73,2,0,1,2,0,4,2,1,0,1,13,"6,00",6,Showcase,0
"空蝉の儚 [SSC7, Japan]",Group E,71,2,0,2,1,3,1,0,0,0,1,10,"7,10",7,Showcase,0
"Mirror Melody [SSC7, USA]",Group E,67,0,2,1,1,3,0,2,1,1,1,12,"5,58",8,Showcase,0
"Stand Up [SSC7, Germany]",Group E,63,0,3,1,1,1,2,1,2,1,0,12,"6,08",9,Showcase,0
"Northern Lights [SSC7, Sweden]",Group E,61,2,0,0,2,1,1,1,2,1,0,10,"6,10",10,Showcase,0
"Baby Boy [SSC7, United States]",Group E,60,1,3,2,1,1,1,0,0,0,2,11,"7,09",11,Showcase,0
"No soy santa pero tú tampoco [SSC7, Peru]",Group E,58,0,3,1,0,0,1,2,1,2,0,10,"5,80",12,Showcase,0
"the girl who cried wolf [SSC7, France]",Group E,57,1,1,1,1,3,1,0,1,1,1,11,"6,00",13,Showcase,0
"Marv'in Speaks (The Earth's Anthem) [SSC7, Germany ]",Group E,56,1,0,1,1,1,0,4,1,1,2,12,"4,67",14,Showcase,0
"Luce verrà / The Light Shall come [SSC7, Netherlands]",Group E,53,1,0,0,2,2,1,1,0,3,0,10,"5,30",15,Showcase,0
"El encaje [SSC7, México]",Group E,53,0,1,3,1,0,0,2,1,2,2,12,"4,83",15,Showcase,0
"i, miss electro [SSC7, USA]",Group E,52,2,1,0,0,0,0,2,2,2,0,9,"5,78",17,Showcase,0
"Clearer Than Ever [SSC7, Romania]",Group E,50,0,1,2,2,0,0,1,1,1,1,9,"5,56",18,Showcase,0
"Leb Wohl, My Love  [SSC7, Sweden]",Group E,50,1,0,1,2,1,1,0,1,1,0,8,"6,25",18,Showcase,0
"Sono solo un tuo giocattolo [SSC7, Italy]",Group E,48,1,0,1,0,1,4,0,0,1,2,10,"5,00",20,Showcase,0
"Celestial Veil [SSC7, Turkey]",Group E,48,0,2,0,0,2,0,1,2,3,0,10,"4,80",20,Track save week,0
"Shall I Let You Weep [SSC7, Germany]",Group E,46,1,1,1,0,0,2,1,0,1,0,7,"6,57",22,Track save week,0
"Lights and Shadows [SSC7, Brazil]",Group E,45,2,0,1,1,0,2,2,1,0,4,13,"4,92",23,Track save week,0
"Rise of the Storm [SSC7, Singapore]",Group E,43,0,0,1,0,3,1,1,2,1,0,9,"4,78",24,Track save week,0
"SET ME FREE [SSC7, USA]",Group E,40,2,0,0,0,0,0,2,1,1,3,9,"4,44",25,Track save week,0
"ドリームランド [SSC7, USA]",Group E,39,0,1,1,0,2,0,1,1,1,0,7,"5,57",26,Track save week,0
"I’ll Find A Way [SSC7, USA]",Group E,35,1,1,0,0,1,1,1,1,0,1,7,"5,86",27,Track save week,0
"断罪-Conviction [SSC7, Malaysia]",Group E,34,1,0,0,1,1,0,0,2,1,1,7,"4,86",28,Track save week,0
"Say Goodbye [SSC7, Canada]",Group E,34,0,0,2,1,0,1,0,1,1,1,7,"4,86",28,Track save week,0
"Thumb a ride (v4.5) (Experimental) [SSC7, Germany]",Group E,26,0,0,0,0,4,0,0,0,1,0,5,"5,20",30,Track save week,0
"Two Worlds  [SSC7, Canada]",Group E,26,0,0,1,1,0,1,0,2,0,1,6,"4,50",30,Track save week,0
"Come with me [SSC7, Germany]",Group E,24,0,0,2,0,1,1,0,1,1,0,6,"5,33",32,Track save week,0
"The Push and the Pull [SSC7, USA]",Group E,23,0,0,1,0,1,1,1,1,1,0,6,"4,67",33,Track save week,0
"Nevermind [SSC7, Scotland]",Group E,23,1,0,0,1,0,0,0,1,0,1,4,"5,75",33,Track save week,0
"Jazz on BR34KC0R3 [SCC7, Korea]",Group E,19,0,1,0,0,0,0,0,2,1,1,5,"3,80",35,Track save week,0
"Move [SSC7, Germany]",Group E,18,0,1,1,0,0,0,0,0,0,0,2,"9,00",36,Track save week,0
"SBS, Setahun Bersama Suno [SSC7, Indonesia]",Group E,15,0,0,0,1,0,1,1,0,1,1,5,"3,80",37,Track save week,0
Thank 'em for Me - Tom Lehrer vs GANTASMO [SSC7],Group E,12,0,0,0,0,2,0,0,0,0,0,2,"6,00",38,Track save week,0
"Berpaut Pada Mimpi 2.0 [SSC7, Malaysia]",Group E,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",39,Track save week,0
"Living on borrowed Time [SSC7, Germany]",Group F,138,4,2,2,2,1,0,3,1,1,0,16,"7,56",1,Showcase,0
"Hex Me Baby [SSC7, Australia]",Group F,121,4,3,2,1,0,1,2,0,3,1,17,"7,12",2,Showcase,0
"Can I?  [SSC7, USA]",Group F,110,3,1,1,2,1,1,0,2,1,1,13,"6,77",3,Showcase,0
"Bruises [SSC7, Israel]",Group F,91,2,0,2,1,3,4,1,0,1,0,14,"6,50",4,Showcase,0
"Somber [SSC7, Norway]",Group F,91,1,2,3,1,1,1,1,1,1,3,15,"5,73",4,Showcase,0
"Keep Holding On [SSC7, USA]",Group F,84,2,2,0,1,1,2,1,2,0,2,13,"6,08",6,Showcase,0
"Astral [SSC7, UK]",Group F,83,1,1,2,3,1,0,0,3,1,0,12,"6,33",7,Showcase,0
"Last Thursday [SSC7, Australia]",Group F,83,1,0,5,0,0,1,4,0,3,0,14,"5,64",7,Showcase,0
"Time [SSC7, Norway]",Group F,72,0,1,0,1,1,1,2,4,1,2,13,"4,00",9,Showcase,0
"Give Love to Those We Died Before [SSC7, USA]",Group F,68,1,2,1,1,1,0,1,2,0,0,9,"7,00",10,Showcase,0
"In the Eye of the Beholder [SSC7, Netherlands]",Group F,66,3,0,0,1,0,2,0,1,1,0,8,"7,25",11,Showcase,0
"Whither the Questioned Blade [SSC7, China]",Group F,64,1,1,2,0,1,1,2,1,1,1,11,"5,73",12,Showcase,0
"Brain Off [SSC7, Russia]",Group F,61,1,1,1,0,2,2,2,0,0,1,10,"6,10",13,Showcase,0
"Universe Love [SSC7, Germany]",Group F,55,1,1,2,2,0,0,0,0,0,3,9,"6,11",14,Showcase,0
"Behind Closed Doors [SSC7, Germany]",Group F,46,0,1,1,1,2,0,1,0,1,0,7,"6,14",15,Showcase,0
"Undeniable [SSC7, South Korea]",Group F,45,1,0,0,1,1,2,0,2,1,2,10,"4,50",16,Showcase,0
"孤影行[SSC7, Taiwan]",Group F,42,0,2,0,1,1,1,0,1,0,0,6,"6,83",17,Showcase,0
"PET (Fading Light Remix) [SSC7, JAPAN]",Group F,39,0,1,0,2,0,0,3,1,0,0,7,"5,57",18,Showcase,0
"CALL OF THE ANCIENT PACK [SSC7, Germany]",Group F,39,1,0,1,1,1,0,0,0,3,0,7,"5,57",18,Showcase,0
"Whispers of MokELE [SSC7, COD]",Group F,38,0,3,0,0,1,0,0,0,0,2,6,"6,33",20,Showcase,0
"Endless Parade [SSC7, USA]",Group F,37,0,1,1,0,0,3,0,0,2,0,7,"5,29",21,Track save week,0
"Wanna Fall in Love Tonight? [SSC7, USA]",Group F,35,0,0,0,2,0,1,3,1,0,1,8,"4,38",22,Track save week,0
"Farben [SSC7, Germany]",Group F,35,0,1,1,0,1,0,1,2,0,1,7,"5,00",22,Track save week,0
"Stuck in the Honey [SSC7, Canada]",Group F,34,1,0,0,0,2,0,0,1,3,1,8,"4,25",24,Track save week,0
"Love in the Loopstation [SSC7, Germany]",Group F,33,1,1,0,0,1,0,0,0,0,1,4,"7,25",25,Track save week,0
"Daytime [SSC7, United Kingdom]",Group F,33,0,1,0,1,2,0,0,1,0,1,6,"5,50",25,Track save week,0
"Merry Go Round Life [SSC7, India]",Group F,32,0,0,0,2,0,1,0,0,0,1,4,"5,00",27,Track save week,0
"Requiem Song [SSC7, ITALY]",Group F,28,0,0,0,0,1,2,0,1,4,1,9,"3,11",28,Track save week,0
"Error Detected [SSC7, Canada]",Group F,27,1,1,0,0,0,0,1,0,0,1,4,"6,75",29,Track save week,0
"Fuji Colors -フジカラー [SSC7, USA]",Group F,26,0,0,1,0,1,1,0,1,1,2,7,"3,71",30,Track save week,0
"Forgotten Brother × Guardian Sister [SSC7, UK]",Group F,24,0,0,1,1,1,0,0,0,1,1,5,"4,80",31,Track save week,0
"Cosmical Nonsense [SSC7, Japan]",Group F,22,0,1,0,0,1,1,0,0,0,1,4,"5,50",32,Track save week,0
"United we sing [SSC7, Germany]",Group F,17,0,0,1,1,0,0,0,0,0,0,2,"7,50",33,Track save week,0
"Echoes in the Distance [SSC7, Italy] (Remix)",Group F,16,0,0,0,1,0,1,1,0,0,0,3,"5,33",34,Track save week,0
"GAME OVER [SSC7, Germany]",Group F,12,0,0,0,0,0,1,1,1,0,0,3,"4,00",35,Track save week,0
"Fading Lights [SSC7, CZE]",Group F,6,0,0,0,0,1,0,0,0,0,0,1,"6,00",36,Track save week,0
"Edge of Love [SSC7, Turkey]",Group F,3,0,0,0,0,0,0,0,1,0,0,1,"3,00",37,Track save week,0
"Summertime [SSC7, Portugal]",Group F,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",38,Track save week,0
"Between the Dust and the Stars [SSC7, Germany]",Group G,102,2,3,5,0,0,0,0,1,2,1,14,"7,29",1,Showcase,0
"What It Means To Be Human (SSC7, USA)",Group G,97,4,1,2,1,1,1,0,0,1,3,14,"6,93",2,Showcase,0
"沉沒 . Sinking [SSC7, Taiwan]",Group G,93,1,1,4,2,1,1,1,1,3,1,16,"5,81",3,Showcase,0
"GLITCHED [SSC 7, Germany]",Group G,90,1,5,0,1,0,2,2,1,0,0,12,"7,50",4,Showcase,0
"Break The Sky [SSC7, USA]",Group G,90,3,2,1,1,1,0,1,3,0,0,12,"7,50",4,Showcase,0
"Bitter wine and mood [SSC7, Taiwan]",Group G,86,5,0,1,0,1,0,2,1,0,1,11,"7,82",6,Showcase,0
"Falsche Fährten [SSC7, Liechtenstein]",Group G,80,0,2,3,1,1,2,1,3,0,0,13,"6,15",7,Showcase,0
"I Said I Would [SSC7, Brazil]",Group G,80,1,4,0,2,0,0,1,1,3,1,13,"6,15",7,Showcase,0
"Pink Devil Era (Make Way) (SSC7, USA)",Group G,76,1,1,0,3,3,0,1,1,3,2,15,"5,07",9,Showcase,0
"Last Request  [SSC7, Japan]",Group G,73,1,0,3,2,2,1,1,0,1,0,11,"6,64",10,Showcase,0
"Siren Song [SSC7, Israel]",Group G,69,2,2,0,1,1,0,1,2,1,0,10,"6,90",11,Showcase,0
"Love Is My Weapon [SSC7, DENMARK]",Group G,61,2,0,0,1,1,2,1,2,1,2,12,"5,08",12,Showcase,0
"ghost in the hallway🎵 [SSC7,Taiwan]",Group G,58,1,0,3,0,1,2,1,0,1,0,9,"6,44",13,Showcase,0
"Crown of Thorns [SSC7, USA]",Group G,58,0,1,3,0,1,1,2,0,1,3,12,"4,83",13,Showcase,0
"Chase the Light [SSC7, Germany]",Group G,53,1,0,1,2,0,1,3,0,1,0,9,"5,89",15,Showcase,0
"Just Let Me Go [SSC7, Poland]",Group G,50,0,1,1,1,0,2,2,1,1,2,11,"4,55",16,Showcase,0
"Ich bin die Tochter des Chaos [SSC7, Germany]",Group G,48,1,0,0,2,2,1,0,1,0,2,9,"5,33",17,Showcase,0
"Paper Cuts & Power Chords  [SSC7, Germany]",Group G,46,0,1,0,0,4,2,0,0,0,2,9,"5,11",18,Showcase,0
"AI Haters [SSC7, Germany]",Group G,42,1,0,1,0,1,0,2,0,4,0,9,"4,67",19,Showcase,0
"Look into Me [SSC7, Italy]",Group G,42,2,0,0,0,0,1,2,0,2,1,8,"5,25",19,Showcase,0
"Like Feather's Caress [SSC7, Italy]",Group G,39,0,2,0,0,0,3,0,1,0,1,7,"5,57",21,Track save week,0
"Step Anyway [SSC7, USA]",Group G,38,0,1,1,0,1,1,1,1,1,0,7,"5,43",22,Track save week,0
"Phantom Kindness [SSC7, Japan]",Group G,38,0,1,1,1,1,0,0,2,0,1,7,"5,43",22,Track save week,0
"A Complicated War Within [SSC7, Russia]",Group G,36,0,0,0,2,2,2,0,0,0,0,6,"6,00",24,Track save week,0
"Glitch of the Five [SSC7, Germany]",Group G,35,1,1,0,1,1,0,0,0,0,0,4,"8,75",25,Track save week,0
"Chase That Light [SSC7, USA]",Group G,34,0,0,0,1,1,3,1,0,1,0,7,"4,86",26,Track save week,0
"Kitty Katana~ Snack Attacka! [SSC7, Finland]",Group G,30,2,0,0,0,0,0,0,2,0,0,4,"7,50",27,Track save week,0
"I burned SUNO down [SSC7, Taiwan]",Group G,29,0,1,0,0,0,1,2,2,0,0,6,"4,83",28,Track save week,0
"Neon Sunrise [SSC7, Taiwan]",Group G,27,0,1,1,0,0,1,0,0,1,2,6,"4,50",29,Track save week,0
"Echo in the Algorithm [SSC7, United Kingdom]",Group G,22,0,0,0,2,1,0,0,0,0,2,5,"4,40",30,Track save week,0
"Unseen [SSC7, Germany]",Group G,21,0,0,0,1,1,1,0,1,0,0,4,"5,25",31,Track save week,0
"Stand for the Silent [SSC7, USA]",Group G,21,0,0,0,1,0,1,1,1,1,0,5,"4,20",31,Track save week,0
"""Light Within” (NSM3) [SSC7, Israel]",Group G,21,0,1,0,0,1,0,0,1,0,2,5,4.20,31,Track save week,0
"What if Jesus had a white girlfriend? [SSC7, UK]",Group G,18,0,0,0,1,0,0,1,1,2,0,5,3.60,34,Track save week,0
"Huitzilopochtli [SSC7, Mexico]",Group G,16,0,0,1,1,0,0,0,0,0,1,3,5.33,35,Track save week,0
"The Voice of the Earth [SSC7, Ukraine]",Group G,15,0,0,0,1,0,0,1,1,0,1,4,3.75,36,Track save week,0
"Ghostcode Lullaby (ゴーストコードの子守唄)[SSC7, USA]",Group G,14,0,0,0,0,1,0,1,1,0,1,4,3.50,37,Track save week,0
"CAN I BE YOUR BEST MAN ? [SSC7, United Kingdom]",Group G,8,0,0,0,0,1,0,0,0,1,0,2,4.00,38,Track save week,0
Cold and Coming Down,Week 1,650,16,22,5,5,5,9,8,7,10,4,91,"7,02",1,Final,11
"Paper Chains [SSC7, USA]",Week 1,631,16,8,10,7,12,13,8,10,5,6,95,"6,48",2,Final,15
Last Thursday,Week 1,593,13,13,7,6,8,9,15,3,7,12,93,"6,15",3,Final,21
Summer Days,Week 1,564,11,9,12,8,15,4,7,4,5,9,84,"6,46",4,Final,21
Wilting Flowers,Week 1,524,8,13,10,6,10,9,3,10,7,6,82,"6,28",5,Final,9
Blue Magic,Week 1,518,13,10,10,3,5,10,12,7,2,1,73,"7,00",6,Second Chance,7
Mirror Melody,Week 1,504,9,8,7,10,10,7,7,4,14,6,82,"5,89",7,Second Chance,21
I Never Was,Week 1,485,9,8,9,13,7,4,8,5,7,8,78,"6,18",8,Second Chance,3
Goosebump Dancefloor,Week 1,471,10,9,3,8,6,7,8,9,13,4,77,"5,84",9,Second Chance,21
Coulda,Week 1,470,11,6,7,8,10,6,3,10,3,7,71,"6,32",10,Second Chance,21
Reaching Out,Week 1,444,6,4,7,12,10,6,10,9,3,8,75,"5,64",11,,21
Rhythm of Us,Week 1,433,4,5,11,14,7,6,7,7,7,3,71,"5,94",12,,11
Siren song,Week 1,415,5,8,10,7,3,7,13,10,2,3,68,"6,04",13,,4
胡蝶幻渦(Phantom Vortex of the Butterfly),Week 1,408,12,6,3,6,6,2,8,9,2,8,62,"6,24",14,,21
The Marrow Tree,Week 1,382,3,5,7,10,5,12,3,9,6,8,68,"5,31",15,,21
Outside Lookin' In,Week 1,370,4,5,9,5,6,6,8,6,10,8,67,"5,21",16,,21
CALL OF THE ANCIENT PACK,Week 1,367,5,7,5,5,8,6,5,8,8,3,60,"5,77",17,,21
The Real Me (I am Freaky),Week 1,366,4,8,3,10,6,1,11,4,7,12,66,"5,23",18,,21
METEOR FUNK,Week 1,365,4,5,7,9,6,10,3,7,7,5,63,"5,63",19,,10
SHE IS NOT SIREN - SHE IS THE TIDE,Week 1,361,6,5,5,7,7,7,8,6,6,2,59,"5,97",20,,9
Crown of Thorns,Week 1,360,5,4,4,7,5,9,8,8,11,5,66,"5,14",21,,21
Lost\Inside,Week 1,345,8,7,2,3,5,5,8,6,6,4,54,"6,00",22,,21
Summer Crush,Week 1,315,5,1,7,9,5,11,1,3,6,15,63,"4,98",23,,1
Lumena Veritas: The New Commandments,Week 1,311,2,6,8,4,4,7,5,5,6,8,55,"5,27",24,,21
Nobody Believes in Believers Anymore,Week 1,301,4,7,5,3,4,5,5,5,8,7,53,"5,40",25,,15
Paper Cuts & Power Chords,Week 1,300,2,2,8,7,6,4,5,9,6,7,56,"4,98",26,,21
"Octpuses Must Be Aliens [SSC7, Japan]",Week 1,299,4,5,8,5,10,4,2,1,1,9,49,"6,10",27,,0
A message,Week 1,291,5,4,4,4,5,4,7,4,7,6,50,"5,40",28,,21
"ghost in the hallway🎵[SSC7,Taiwan]",Week 1,286,3,8,6,3,6,2,2,3,6,5,44,"6,02",29,,21
"Don't feel the love, baby!",Week 1,283,5,4,4,4,5,5,7,9,6,1,50,"5,66",30,,0
Can I?,Week 1,282,2,2,7,6,7,6,7,4,10,5,56,"4,98",31,,3
"Opera, My Love",Week 1,263,6,4,3,0,4,6,4,4,9,6,46,"5,26",32,,21
CRUSADE,Week 1,261,7,5,1,5,2,8,3,3,2,4,40,"6,45",33,,3
Cosmosis,Week 1,247,4,5,4,5,1,4,3,8,2,6,42,"5,64",34,,10
Chase the Light,Week 1,244,1,4,3,5,5,6,5,7,2,7,45,"4,96",35,,21
Just Let Me Go,Week 1,244,3,4,7,3,4,4,5,5,2,2,39,"6,10",36,,6
"Light's Off, Bass Up!",Week 1,244,3,4,5,3,4,5,3,6,10,8,51,"4,78",37,,0
Harmony In The Ruins,Week 1,228,4,3,3,5,2,4,5,6,8,5,45,"5,07",38,,0
Start Again,Week 1,223,2,3,5,3,4,4,3,5,5,6,40,"5,05",39,,21
幻灭,Week 1,215,3,1,6,4,7,3,4,2,3,8,41,"5,24",40,,0
Blue Butterfly,Week 2,683,17,9,10,9,13,12,9,11,6,6,102,"6,49",1,Finals,21
lull,Week 2,637,13,15,8,17,4,9,5,5,11,7,94,"6,62",2,Finals,15
Void,Week 2,620,16,8,10,8,6,12,11,9,8,8,96,"6,24",3,Finals,21
Tell me what’s wrong with me,Week 2,503,10,10,5,11,8,9,3,9,5,9,79,"6,18",4,Finals,15
The Spectrum,Week 2,492,10,13,6,4,11,8,6,2,8,7,75,"6,47",5,Finals,7
I don’t want to!,Week 2,492,8,10,10,6,5,6,8,17,3,4,77,"6,12",6,Second Chance,21
"Icarus (Remix) [SSC7, USA]",Week 2,450,11,7,6,7,5,6,5,11,6,5,69,"6,22",7,Second Chance,21
I just wanna dance,Week 2,445,8,8,9,7,9,4,6,7,7,4,69,"6,29",8,Second Chance,11
Easy Life,Week 2,433,4,9,6,8,10,5,14,4,5,7,72,"5,72",9,Second Chance,21
沉沒 . Sinking,Week 2,432,7,6,10,6,10,8,6,6,4,6,69,"6,12",10,Second Chance,10
Firefly,Week 2,430,8,6,6,11,8,9,7,4,5,3,67,"6,37",11,,3
Living on borrowed Time,Week 2,422,5,10,5,7,6,8,9,9,4,11,74,"5,50",12,,15
Somber,Week 2,412,6,6,6,6,9,7,11,4,15,5,75,"5,36",13,,10
When It All Falls Down,Week 2,409,7,5,10,9,7,6,3,9,6,8,70,"5,83",14,,1
Imposter,Week 2,405,7,6,5,6,11,4,10,6,8,4,67,"5,82",15,,15
Creyst,Week 2,403,9,11,6,0,7,3,7,7,3,4,57,"6,70",16,,21
AI Haters,Week 2,399,5,7,10,6,9,5,3,5,4,12,66,"5,73",17,,21
System Fail - システム・フェイル,Week 2,370,8,8,5,6,3,4,10,5,4,8,61,"6,02",18,,3
Who cares,Week 2,369,8,7,4,7,3,6,4,6,6,7,58,"6,00",19,,21
Turtles and Toads,Week 2,367,2,4,11,8,9,5,8,8,6,6,67,"5,39",20,,6
Luce verrà / The Light Shall come,Week 2,365,14,4,4,4,4,5,7,2,4,3,51,"7,10",21,,3
Bruises,Week 2,351,3,6,11,8,4,5,3,6,12,8,66,"5,32",22,,0
Love Is My Weapon,Week 2,347,6,4,4,4,4,11,10,5,8,4,60,"5,43",23,,21
Miracle,Week 2,344,5,4,6,7,7,12,3,6,4,4,58,"5,88",24,,3
Woodstock '99,Week 2,330,2,7,9,7,3,3,6,12,6,7,62,"5,27",25,,3
Last Request,Week 2,329,2,2,10,9,6,4,7,7,7,12,66,"4,82",26,,11
"Pink Devil Era (Make Way) (SSC7, USA)",Week 2,321,5,8,2,4,9,5,4,4,3,3,47,"6,38",27,,21
What Am I Doing?,Week 2,315,5,3,5,9,4,6,5,3,5,8,53,"5,55",28,,21
FEELS LIKE GOLD,Week 2,285,5,2,5,5,6,4,6,8,11,4,56,"5,09",29,,0
Singe Hare,Week 2,280,5,3,5,5,6,4,8,5,4,4,49,"5,71",30,,0
