Song name,Week,Points,12,10,8,7,6,5,4,3,2,1,# of voters,Avg points,Weekly rank,Result,bonusPoints
"Unimaginable [SSC7, USA]",Group A#,107,0,2,3,5,2,0,1,3,1,1,18,"5,94",3,Showcase,0
"Cape Town Breeze [SSC7, South Africa]",Group A#,100,1,2,1,2,2,2,0,2,2,2,16,"5,50",34,Showcase,0
"Pretend [SSC7, USA]",Group A#,73,1,0,2,1,1,3,1,1,1,1,12,"5,50",6,Showcase,0
"Woodstock '99 [SSC7, UK]",Group A#,72,2,1,1,1,0,1,2,2,1,2,13,"5,54",1,Showcase,0
"Sapphire [SSC7, UK]",Group A#,72,1,1,2,1,2,1,1,0,2,2,13,"5,54",32,Showcase,0
"We go hard [SSC7, Norway]",Group A#,70,1,1,1,2,1,1,0,0,2,1,10,"6,00",14,Showcase,0
"胡蝶幻渦(Phantom Vortex of the Butterfly) [SSC7, Taiwan]",Group A#,70,3,0,0,1,0,1,5,0,1,0,11,"6,36",4,Showcase,0
"Summer Crush [SSC7, Canada]",Group A#,68,1,2,3,0,1,0,0,2,0,0,9,"7,56",7,Showcase,0
"To the Sky [SSC7, Switzerland]",Group A#,64,1,2,0,1,1,0,2,1,0,2,10,"5,80",8,Showcase,0
"We are the change! [SSC7, NL]",Group A#,62,2,1,0,1,2,1,0,0,2,0,9,"6,89",24,Showcase,0
"life is a challenge [SSC7, Germany]",Group A#,60,0,1,0,1,2,0,1,2,1,0,8,"5,13",21,Showcase,0
"Turtles and Toads [SSC7, USA]",Group A#,60,1,2,1,0,2,0,0,1,0,1,8,"7,00",33,Showcase,0
"Every likkle ting mi ave mi grateful [SSC7, Germany]",Group A#,58,3,0,0,1,1,1,1,0,0,0,7,"8,29",17,Showcase,0
"Queen of the dance floor [SSC7, Belgium]",Group A#,51,0,1,0,2,0,2,3,1,1,0,10,"5,10",19,Showcase,0
"Singed Hare [SSC7, USA]",Group A#,47,0,1,1,0,1,2,1,1,2,2,11,"4,27",15,Showcase,0
"Welcome to our Jungle [SSC7, France]",Group A#,46,0,2,1,0,0,2,1,1,0,1,8,"5,75",30,Track save week,0
"Echo in Gold [SSC7, USA]",Group A#,44,0,1,0,1,1,1,0,0,1,1,6,"5,17",8,Track save week,0
"Heartbeat Glitch [SSC7, Taiwan]",Group A#,40,0,0,1,1,1,1,1,1,3,1,10,"4,00",12,Track save week,0
"UNMASKED [SSC7, Bulgaria]",Group A#,37,0,1,1,1,1,0,0,0,0,2,6,"5,50",36,Track save week,0
"Entropy [SSC7, CANADA]",Group A#,35,0,0,2,1,0,0,0,2,2,2,9,"3,89",2,Track save week,0
"Ruchome Mosty [SSC7, Poland]",Group A#,35,1,0,0,1,0,1,1,1,1,0,6,"5,50",10,Track save week,0
"Lost (VIP Remix) [SSC7, USA]",Group A#,33,1,1,0,0,0,1,0,1,1,1,6,"5,50",11,Track save week,0
"You´re The Light  [SSC7, Czechia]",Group A#,28,0,1,0,0,1,1,0,1,0,1,5,"5,00",35,Track save week,0
"Make way! [SSC7, Czechia]",Group A#,26,0,0,1,1,0,1,1,0,0,2,6,"4,33",29,Track save week,0
"Please, let there be peace  [SSC7, The Netherlands]",Group A#,26,1,0,0,0,0,1,1,0,0,1,4,"5,50",23,Track save week,0
"Aphelion:Dioscuri  [SSC7, USA]",Group A#,24,0,0,1,0,1,0,0,1,3,1,7,"3,43",27,Track save week,0
"愛自己 Embrace Myself [SSC7, Taiwan]",Group A#,20,0,0,0,0,1,0,2,2,0,0,5,"4,00",20,Track save week,0
"Unbroken [SSC7, Denmark]",Group A#,19,0,0,0,1,1,1,0,0,0,1,4,"4,75",37,Track save week,0
"Ком (A lump in the throat) [SSC7, Montenegro]",Group A#,18,0,1,1,0,0,0,0,0,0,0,2,"9,00",5,Track save week,0
"Oda al Sol (SSC7, Netherlands)",Group A#,17,0,0,0,1,0,1,0,1,0,2,5,"3,40",24,Track save week,0
"Devil for Real [SSC7, USA]",Group A#,12,0,0,0,0,0,0,1,1,1,1,4,"2,50",24,Track save week,0
"Power to Choose   [SSC7, USA]",Group A#,9,0,0,0,0,0,0,1,1,1,0,3,"3,00",22,Track save week,0
"Auroraraptors [SSC7, Finland]",Group A#,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",13,Track save week,0
"Rituals of the Night [SSC7, Ukraine]",Group B,134,5,4,0,1,2,0,1,2,0,4,19,"7,00",1,Showcase,0
"Octopuses Must Be Aliens [SSC7, Japan]",Group B,109,2,2,3,2,2,1,2,0,1,0,15,"7,27",2,Showcase,0
"Icarus (Remix) [SSC7, USA]",Group B,104,2,2,1,3,2,0,1,0,1,1,13,"7,08",3,Showcase,0
"METEOR FUNK [SSC7, Japan]",Group B,102,4,0,1,1,3,1,1,3,0,3,17,"6,00",4,Showcase,0
"One Day [SSC7, USA]",Group B,89,1,0,3,4,1,2,1,1,1,0,14,"6,36",5,Showcase,0
"Crown Me, Hatter [SSC7, USA]",Group B,80,1,2,2,1,1,3,0,0,2,0,12,"6,67",6,Showcase,0
"ECHO PRAXIS [SSC7, USA]",Group B,73,1,1,4,0,0,3,0,0,2,0,11,"6,64",7,Showcase,0
"Social Inferno [SSC7, Italy]",Group B,73,1,1,3,0,1,1,1,2,2,0,12,"5,92",7,Showcase,0
"When It All Falls Down  [SSC7, USA]",Group B,68,1,0,0,4,2,2,1,0,1,0,11,"6,18",9,Showcase,0
"Manual [SSC7, Ukraine]",Group B,66,0,0,1,2,1,2,1,2,4,0,13,"4,31",10,Showcase,0
"Cosmosis [SSC7, Argentina]",Group B,63,1,2,0,3,0,0,1,2,0,0,9,"7,00",11,Showcase,0
"CEASEFIRE! [SSC7, Spain]",Group B,61,0,1,2,0,3,0,2,2,1,1,12,"5,08",12,Showcase,0
"Lose You [SSC7, India]",Group B,59,0,1,3,0,3,0,1,1,0,0,9,"6,56",13,Showcase,0
"Calling from Heaven [SSC7, Germany]",Group B,58,1,2,2,0,0,0,0,1,2,0,8,"6,88",14,Showcase,0
"The World Inside Me [SSC7, Germany]",Group B,58,2,1,1,0,1,0,1,0,1,0,7,"7,71",14,Showcase,0
"I just wanna dance [SSC7, Sweden]",Group B,55,0,1,1,1,2,0,3,1,0,3,12,"4,58",16,Showcase,0
"Easy Life [SSC7, Italy]",Group B,55,1,0,0,0,2,2,1,2,1,3,12,"4,08",16,Showcase,0
"Still Won't Say it! [SSC7, USA]",Group B,54,1,1,2,1,0,0,2,0,0,1,8,"6,75",18,Showcase,0
"What do I actually think I am doing? [SSC7, Germany]",Group B,51,2,0,0,0,1,2,0,0,1,2,8,"5,50",19,Showcase,0
Strange Creek (SSC7 USA),Group B,49,0,3,1,0,0,1,0,0,2,2,9,"5,44",20,Showcase,0
"The Fallen [SSC7, Turkey]",Group B,48,1,0,0,1,0,2,1,3,2,2,12,"4,00",21,Track save week,0
"Summer Lovin [SSC7, CA]",Group B,48,0,2,0,2,0,0,2,2,0,0,8,"6,00",21,Track save week,0
"SIMULATED LOVE  [SSC7, USA]",Group B,47,0,1,0,2,1,3,0,0,1,0,8,"5,88",23,Track save week,0
"I Shed My Last Tear, [SSC7, USA]",Group B,44,1,2,0,1,0,1,0,0,0,0,5,"8,80",24,Track save week,0
"STROBE [SSC7, Netherlands]",Group B,42,0,0,1,1,2,1,0,2,2,0,9,"4,67",25,Track save week,0
"No One Runs From Hell (And Ever Comes Back) [SSC7, Germany]",Group B,42,1,1,1,0,0,1,0,0,3,1,8,"5,25",25,Track save week,0
"It ain't enough [SSC7, UK]",Group B,41,1,1,0,0,1,0,1,1,2,2,9,"4,56",27,Track save week,0
